HxH     | Hunter x Hunter
SG      | Steins;Gate
AoT     | Attack on Titan
FMAB    | Fullmetal Alchemist: Brotherhood
DN      | Death Note
VE      | Violet Evergarden
VS      | Vinland Saga
M       | Monster
CG      | Code Geass
OT      | Odd Taxi
KsLIW   | Kaguya-sama: Love Is War
MTJR    | Mushoku Tensei: Jobless Reincarnation
MP100   | Mob Psycho 100
MiA     | Made in Abyss
RZ      | Re:Zero - Starting Life in Another World
TPN     | The Promised Neverland
YN      | Your Name
OO      | One Outs
OPM     | One Punch Man
YLiA    | Your Lie in April
TiR     | Terror in Resonance
FZ      | Fate/Zero
SxF     | Spy x Family
PK      | Parasyte: The Maxim
STR     | Summer Time Rendering
DC      | Devilman Crybaby
E       | Erased
CE      | Cyberpunk: Edgerunners
LotL    | Land of the Lustrous
86      | 86
VFES    | Vivy: Fluorite Eye's Song
H       | Horimiya
MBM     | Bakemonogatari
DP      | Death Parade
PS      | Prison School
EL      | Elfen Lied
MDuD    | My Dress Up Darling
ASV     | A Silent Voice
JJk     | Jujutsu Kaisen
WwY     | Weathering with You
DG      | Domestic Girlfriend
CSM     | Chainsaw Man
Mnnk    | Mononoke
UfAW    | Uncle From Another World
ATFWSTD | Anohana: The Flower We Saw That Day
PPtA    | Ping Pong the Animation
LL      | Love and Lies
BtR     | Bocchi the Rock!
MS      | Mushi-Shi
